Dataset,Solver,Timeout,Time,Size,Certificate
j23,huffner,0.1,0.1,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '5', '8', '9', '49']"
j23,huffner,1,0.5,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '49', '5', '8', '9']"
j23,huffner,10,1.2,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '49', '5', '8', '9']"
j24,huffner,0.01,0.0,3,"['20', '35', '40']"
j24,huffner,0.1,0.0,3,"['20', '35', '40']"
j24,huffner,1,0.3,3,"['20', '35', '40']"
j24,huffner,10,1.0,3,"['20', '35', '40']"
j25,huffner,0.01,0.0,0,[]
j25,huffner,0.1,0.0,0,[]
j25,huffner,1,0.3,0,[]
j25,huffner,10,1.0,0,[]
j26,huffner,0.01,0.0,6,"['21', '24', '27', '3', '4', '5']"
j26,huffner,0.1,0.0,6,"['21', '24', '27', '3', '4', '5']"
j26,huffner,1,0.3,6,"['21', '24', '27', '3', '4', '5']"
j26,huffner,10,1.0,6,"['21', '24', '27', '3', '4', '5']"
j28,huffner,0.01,0.01,16,"['10', '38', '39', '40', '42', '43', '44', '5', '52', '8', '9', '20', '22', '41', '12', '18']"
j28,huffner,0.1,0.1,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
j28,huffner,1,0.3,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
j28,huffner,10,1.0,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,huffner,0.01,0.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_1,huffner,0.1,0.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_1,huffner,1,0.3,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
