Dataset,Timeout,C - Size,HE - Size,C - Time,HE - Time
j11,10.0,5,5,0.0,0.0
j13,0.01,4,5,0.0,0.0
j13,0.1,4,4,0.0,0.0
j13,1.0,4,4,0.0,0.0
j13,10.0,4,4,0.0,0.0
j14,0.01,3,3,0.0,0.0
j14,0.1,3,3,0.0,0.0
j14,1.0,3,3,0.0,0.0
j14,10.0,3,3,0.0,0.0
j15,0.01,0,0,0.0,0.0
j15,0.1,0,0,0.0,0.0
j15,1.0,0,0,0.0,0.0
j15,10.0,0,0,0.0,0.0
j16,0.01,0,0,0.0,0.0
j16,0.1,0,0,0.0,0.0
j16,1.0,0,0,0.0,0.0
j16,10.0,0,0,0.0,0.0
j17,0.01,16,11,0.0,0.0
j17,0.1,10,11,0.0,0.0
j17,1.0,10,10,0.0,0.3
j17,10.0,10,10,0.0,0.3
j18,0.01,12,10,0.0,0.0
j18,0.1,9,10,0.0,0.0
j18,1.0,9,9,0.0,0.9
j18,10.0,9,9,0.0,0.9
j19,0.01,3,3,0.0,0.0
j19,0.1,3,3,0.0,0.0
j19,1.0,3,3,0.0,0.0
j19,10.0,3,3,0.0,0.0
j20,0.01,0,0,0.0,0.0
j20,0.1,0,0,0.0,0.0
j20,1.0,0,0,0.0,0.0
j20,10.0,0,0,0.0,0.0
j21,0.01,2,2,0.0,0.0
j21,0.1,2,2,0.0,0.0
j21,1.0,2,2,0.0,0.0
j21,10.0,2,2,0.0,0.0
j22,0.01,9,9,0.0,0.0
j22,0.1,9,9,0.0,0.0
j22,1.0,9,9,0.0,0.0
j22,10.0,9,9,0.0,0.0
j23,0.01,19,19,0.0,0.0
j23,0.1,19,19,0.1,0.0
j23,1.0,19,19,0.1,0.0
j23,10.0,19,19,0.1,0.0
j24,0.01,3,3,0.0,0.0
j24,0.1,3,3,0.0,0.0
j24,1.0,3,3,0.0,0.0
j24,10.0,3,3,0.0,0.0
j25,0.01,0,0,0.0,0.0
j25,0.1,0,0,0.0,0.0
j25,1.0,0,0,0.0,0.0
j25,10.0,0,0,0.0,0.0
j26,0.01,7,6,0.0,0.0
j26,0.1,6,6,0.0,0.0
j26,1.0,6,6,0.0,0.0
j26,10.0,6,6,0.0,0.0
j28,0.01,16,13,0.0,0.0
j28,0.1,13,13,0.0,0.0
j28,1.0,13,13,0.0,0.0
j28,10.0,13,13,0.0,0.0
