Dataset,Solver,Timeout,Time,Size,Certificate
j17,IC_1,0.01,0.0,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j17,IC_1,0.1,0.0,10,"['11', '14', '15', '21', '25', '27', '3', '4', '8', '9']"
j18,IC_1,0.01,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j18,IC_1,0.1,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j19,IC_1,0.01,0.0,3,"['10', '11', '14']"
j19,IC_1,0.1,0.0,3,"['10', '11', '14']"
j20,IC_1,0.01,0.0,0,[]
j20,IC_1,0.1,0.0,0,[]
j21,IC_1,0.01,0.0,2,"['4', '7']"
j21,IC_1,0.1,0.0,2,"['4', '7']"
j22,IC_1,0.01,0.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j22,IC_1,0.1,0.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j23,IC_1,0.01,0.01,19,"['1', '15', '2', '20', '21', '26', '33', '38', '39', '41', '5', '9', '8', '14', '3', '42', '30', '31', '49']"
j23,IC_1,0.1,0.1,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '5', '8', '9', '49']"
j24,IC_1,0.01,0.0,3,"['20', '35', '40']"
j24,IC_1,0.1,0.0,3,"['20', '35', '40']"
j25,IC_1,0.01,0.0,0,[]
j25,IC_1,0.1,0.0,0,[]
j26,IC_1,0.01,0.0,6,"['21', '24', '27', '3', '4', '5']"
j26,IC_1,0.1,0.0,6,"['21', '24', '27', '3', '4', '5']"
j28,IC_1,0.01,0.01,16,"['10', '38', '39', '40', '42', '43', '44', '5', '52', '8', '9', '20', '22', '41', '12', '18']"
j28,IC_1,0.1,0.1,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,IC_1,0.01,0.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_1,IC_1,0.1,0.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_2,IC_1,0.01,0.01,16,"['15', '2', '22', '27', '3', '30', '33', '38', '44', '9', '36', '51', '35', '19', '31', '56']"
gka_2,IC_1,0.1,0.1,16,"['15', '2', '22', '27', '3', '30', '33', '35', '36', '38', '44', '51', '9', '19', '31', '56']"
gka_3,IC_1,0.01,0.01,24,"['1', '19', '22', '24', '45', '46', '56', '57', '59', '61', '43', '47', '54', '16', '7', '64', '38', '41', '51', '18', '29', '52', '49', '35']"
gka_3,IC_1,0.1,0.1,24,"['1', '19', '22', '24', '43', '45', '46', '47', '56', '57', '59', '61', '54', '16', '7', '64', '38', '41', '51', '18', '29', '52', '49', '35']"
gka_4,IC_1,0.01,0.01,31,"['1', '13', '15', '28', '36', '49', '57', '59', '62', '76', '24', '37', '8', '10', '72', '63', '2', '22', '78', '11', '17', '9', '69', '67', '19', '38', '65', '14', '39', '43', '40']"
gka_4,IC_1,0.1,0.1,30,"['10', '19', '22', '37', '40', '43', '46', '57', '61', '62', '65', '72', '9', '15', '71', '67', '30', '36', '76', '17', '24', '50', '70', '69', '28', '49', '68', '2', '5', '53']"
gka_5,IC_1,0.01,0.01,22,"['0', '13', '14', '16', '28', '35', '38', '40', '47', '48', '49', '6', '46', '11', '22', '42', '25', '26', '43', '12', '21', '44']"
gka_5,IC_1,0.1,0.1,22,"['0', '11', '13', '14', '16', '22', '28', '35', '38', '40', '42', '46', '47', '48', '49', '6', '25', '26', '43', '12', '21', '44']"
