Dataset,Timeout,Size,Time,Certificate
aa43.edgelist,100,19,7,"[2,4,5,7,8,10,13,14,15,16,17,20,21,22,25,28,31,32,36]"
aa44.edgelist,100,10,2,"[4,5,7,14,16,22,23,25,26,27]"
aa45.edgelist,100,21,12,"[2,3,4,5,6,11,12,17,20,21,22,23,24,26,29,33,34,36,37,38,42]"
aa46.edgelist,100,16,23,"[0,1,6,7,9,13,14,16,19,20,22,26,45,54,56,69]"
aa47.edgelist,100,14,0,"[2,4,5,6,14,18,24,25,26,27,28,29,30,32]"
aa48.edgelist,100,17,16,"[0,1,6,9,15,16,17,18,19,20,23,27,33,34,37,38,40]"
aa49.edgelist,100,0,0,[]
aa50.edgelist,100,21,1,"[5,7,8,10,11,18,22,23,24,29,31,33,35,39,49,50,52,53,58,59,60]"
aa51.edgelist,100,11,45,"[3,6,7,9,11,17,24,35,41,42,43]"
aa52.edgelist,100,12,93,"[0,1,3,11,12,17,18,21,24,25,29,30]"
aa53.edgelist,100,14,51,"[5,12,16,17,26,27,31,33,34,35,36,37,38,42]"
aa54.edgelist,100,14,0,"[1,14,15,19,20,25,28,29,31,35,38,42,43,44]"
j10.edgelist,100,3,0,"[0,5,8]"
j11.edgelist,100,5,0,"[17,18,19,24,25]"
j13.edgelist,100,4,0,"[5,16,17,24]"
j14.edgelist,100,3,0,"[0,1,4]"
j15.edgelist,100,0,0,[]
j16.edgelist,100,0,0,[]
j17.edgelist,100,10,6,"[3,4,8,9,11,14,15,21,25,27]"
j18.edgelist,100,10,3,"[2,3,6,9,11,13,18,29,42,45]"
j19.edgelist,100,3,0,"[10,11,14]"
j20.edgelist,100,0,0,[]
j21.edgelist,100,2,0,"[0,4]"
j22.edgelist,100,9,0,"[31,35,37,38,39,40,41,43,44]"
j23.edgelist,100,19,0,"[1,2,3,5,8,9,14,15,20,21,26,30,31,33,38,39,41,42,49]"
j24.edgelist,100,3,4,"[20,35,40]"
j25.edgelist,100,0,0,[]
j26.edgelist,100,6,3,"[3,20,25,26,27,28]"
j28.edgelist,100,13,9,"[5,8,9,10,12,38,39,40,41,42,43,44,52]"
gka_1.edgelist,100,9,1,"[3,4,7,9,15,22,23,38,43]"
gka_2.edgelist,100,16,3,"[2,5,8,12,19,28,30,31,33,36,38,40,41,44,47,48]"
gka_3.edgelist,100,24,9,"[1,7,11,14,16,19,22,24,29,35,38,41,43,45,47,49,52,54,56,57,59,61,64,65]"
gka_4.edgelist,100,31,2,"[2,5,6,9,10,13,14,15,17,19,22,24,25,30,32,36,37,39,40,43,47,49,57,59,62,65,67,69,76,77,78]"
gka_5.edgelist,100,22,4,"[0,1,4,5,11,16,18,21,22,25,26,34,35,38,40,42,43,44,46,47,48,49]"
gka_6.edgelist,100,16,1,"[0,2,4,5,6,9,15,16,17,18,19,22,23,24,25,28]"
gka_7.edgelist,100,18,0,"[0,1,2,5,6,8,9,12,13,14,15,21,22,23,24,27,28,29]"
gka_8.edgelist,100,33,47,"[3,7,9,11,15,17,20,23,25,27,30,34,36,39,41,48,53,54,55,60,63,70,73,75,76,79,83,86,87,90,92,94,95]"
gka_9.edgelist,100,2,0,"[4,5]"
gka_10.edgelist,100,8,0,"[0,1,3,5,6,8,10,11]"
gka_11.edgelist,100,10,0,"[0,2,3,4,5,7,8,9,10,12]"
gka_12.edgelist,100,20,0,"[0,1,2,3,4,5,6,8,9,12,13,14,15,16,17,18,20,21,22,23]"
gka_13.edgelist,100,16,0,"[1,2,4,5,6,7,8,9,12,13,14,15,16,17,18,19]"
gka_14.edgelist,100,22,0,"[0,1,2,3,4,5,6,7,9,11,12,14,15,16,17,18,19,20,21,22,24,25]"
gka_15.edgelist,100,0,0,[]
gka_16.edgelist,100,0,0,[]
gka_17.edgelist,100,0,0,[]
gka_18.edgelist,100,2,0,"[1,3]"
gka_19.edgelist,100,31,0,"[0,1,2,3,4,5,6,7,8,9,12,13,14,15,17,18,19,21,22,24,25,26,27,29,30,32,33,34,35,36,38]"
gka_20.edgelist,100,39,0,"[0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,18,22,23,24,25,26,27,28,29,30,31,32,34,35,37,38,40,41,42,44,47,48,49]"
gka_21.edgelist,100,41,9,"[0,1,2,3,4,5,6,7,8,9,10,11,17,18,20,21,22,24,25,27,28,29,30,31,33,34,35,39,41,42,43,47,48,49,50,52,53,54,55,56,59]"
gka_22.edgelist,100,44,68,"[0,1,3,5,8,9,11,13,14,15,16,17,18,20,21,22,28,29,30,31,34,35,36,37,38,39,40,41,42,44,45,46,49,51,52,53,54,57,58,59,61,64,66,69]"
gka_23.edgelist,100,48,6,"[0,2,3,4,6,8,10,11,13,15,16,17,18,22,23,26,27,28,29,30,31,32,33,35,37,39,40,42,43,44,45,47,49,51,52,53,55,57,58,62,64,67,69,71,73,74,78,79]"
gka_24.edgelist,100,38,57,"[0,2,4,7,10,14,18,19,21,23,27,33,34,35,36,38,39,40,43,47,54,55,56,58,59,60,61,62,64,66,67,69,72,74,75,83,84,86]"
gka_25.edgelist,100,44,16,"[0,1,2,4,5,6,9,11,12,16,17,18,19,21,26,27,31,32,35,42,44,45,49,50,53,54,55,57,59,60,61,63,65,71,74,79,81,82,83,85,87,94,96,98]"
gka_26.edgelist,100,44,0,"[1,2,3,4,10,12,13,14,21,23,26,28,29,34,37,38,40,41,42,43,45,48,54,57,58,59,60,63,64,65,68,70,71,74,76,78,79,81,82,87,93,95,97,99]"
gka_27.edgelist,100,64,13,"[2,6,8,9,10,11,13,15,16,17,19,21,22,25,26,28,29,31,33,34,35,36,37,38,40,41,42,46,47,48,49,50,51,53,54,56,57,58,59,61,63,66,68,70,71,72,73,74,75,76,78,81,82,85,88,89,90,91,92,93,94,97,98,99]"
