Dataset,Solver,Timeout,HTime,Time,Size,Certificate
bqp100_1,huffner,0.01,0.001,0.01,45,"['19', '21', '26', '27', '29', '32', '36', '39', '4', '56', '88', '72', '71', '52', '91', '18', '46', '74', '0', '13', '89', '90', '12', '47', '80', '92', '99', '73', '1', '24', '17', '83', '76', '60', '34', '23', '15', '95', '98', '6', '20', '87', '66', '53', '42']"
bqp100_2,huffner,0.01,0.001,0.01,47,"['14', '21', '22', '29', '30', '31', '37', '40', '41', '51', '66', '96', '68', '87', '72', '74', '85', '75', '48', '81', '90', '44', '26', '13', '15', '76', '2', '98', '59', '3', '16', '45', '32', '12', '78', '5', '47', '50', '70', '17', '43', '97', '55', '35', '7', '6', '0']"
bqp100_3,huffner,0.01,0.001,0.01,45,"['1', '23', '25', '36', '46', '50', '57', '58', '63', '65', '9', '98', '52', '6', '18', '86', '54', '53', '48', '97', '88', '10', '34', '74', '91', '19', '20', '28', '7', '40', '99', '33', '70', '82', '39', '77', '60', '26', '15', '0', '35', '22', '21', '73', '81']"
bqp100_4,huffner,0.01,0.001,0.01,45,"['23', '24', '32', '35', '4', '45', '48', '49', '52', '58', '75', '11', '0', '37', '79', '29', '42', '6', '21', '73', '63', '70', '27', '80', '88', '97', '31', '15', '22', '8', '94', '85', '57', '54', '86', '89', '13', '87', '91', '99', '38', '92', '34', '17', '59']"
bqp100_5,huffner,0.01,0.001,0.01,45,"['1', '19', '20', '3', '32', '34', '40', '45', '5', '63', '71', '87', '9', '33', '76', '77', '26', '2', '27', '28', '38', '79', '55', '51', '73', '25', '42', '11', '90', '0', '18', '61', '4', '44', '46', '48', '69', '84', '86', '37', '36', '88', '31', '93', '82']"
bqp100_6,huffner,0.01,0.001,0.01,46,"['0', '18', '2', '30', '48', '50', '55', '66', '68', '70', '82', '96', '97', '13', '63', '8', '83', '95', '41', '56', '33', '72', '65', '88', '9', '4', '86', '64', '14', '12', '16', '45', '44', '15', '59', '91', '93', '52', '47', '98', '67', '99', '87', '75', '74', '94']"
bqp100_7,huffner,0.01,0.001,0.01,45,"['1', '13', '18', '2', '20', '22', '23', '38', '57', '86', '9', '93', '96', '66', '12', '44', '94', '28', '4', '95', '51', '21', '60', '79', '75', '78', '65', '8', '70', '84', '17', '5', '80', '37', '16', '41', '52', '99', '90', '29', '72', '15', '81', '34', '69']"
bqp100_8,huffner,0.01,0.001,0.01,46,"['13', '14', '17', '18', '25', '26', '54', '57', '71', '75', '80', '68', '90', '15', '61', '99', '65', '39', '35', '6', '9', '5', '87', '77', '70', '42', '56', '93', '33', '4', '72', '12', '11', '96', '86', '20', '81', '50', '47', '92', '59', '32', '22', '43', '94', '46']"
bqp100_9,huffner,0.01,0.001,0.01,47,"['18', '32', '33', '35', '41', '53', '54', '67', '69', '7', '77', '83', '49', '76', '81', '99', '44', '3', '55', '27', '13', '19', '31', '97', '95', '57', '50', '25', '89', '21', '87', '34', '29', '22', '65', '45', '40', '12', '70', '62', '98', '51', '11', '96', '56', '15', '16']"
bqp100_10,huffner,0.01,0.001,0.01,48,"['14', '28', '32', '35', '4', '42', '50', '57', '63', '75', '78', '80', '81', '5', '66', '92', '84', '79', '88', '90', '54', '33', '71', '73', '99', '68', '6', '11', '34', '62', '18', '31', '46', '87', '8', '97', '21', '13', '45', '36', '76', '65', '7', '72', '67', '96', '22', '10']"
