Dataset,Solver,Time,Size,Certificate
gka_5,akiba_iwata,0.7,22,"[1, 2, 5, 6, 10, 11, 14, 17, 24, 25, 34, 35, 37, 38, 40, 42, 43, 44, 45, 46, 47, 49]"
gka_5,ilp,0.1,22,"['44', '46', '17', '14', '6', '25', '11', '35', '49', '13', '38', '43', '23', '33', '40', '5', '21', '1', '26', '34', '47', '42']"
gka_6,akiba_iwata,0.1,16,"[1, 2, 4, 5, 6, 8, 12, 15, 17, 19, 22, 23, 24, 25, 27, 28]"
gka_6,ilp,0.1,16,"['15', '17', '14', '6', '22', '4', '5', '2', '12', '10', '26', '19', '28', '9', '1', '3']"
gka_7,akiba_iwata,0.1,18,"[0, 1, 2, 5, 6, 8, 9, 11, 12, 13, 14, 15, 21, 23, 24, 27, 28, 29]"
gka_7,ilp,0.0,18,"['15', '23', '17', '24', '6', '22', '4', '5', '2', '8', '27', '12', '28', '13', '0', '29', '9', '1']"
gka_8,akiba_iwata,7.2,28,"[3, 4, 9, 10, 11, 12, 13, 15, 16, 20, 25, 26, 31, 36, 53, 55, 59, 60, 63, 68, 79, 85, 86, 92, 93, 94, 95, 98]"
gka_8,ilp,4.8,28,"['15', '60', '13', '93', '79', '11', '20', '53', '12', '68', '4', '94', '10', '26', '55', '9', '98', '59', '25', '92', '78', '86', '3', '23', '63', '31', '74', '85']"
gka_9,akiba_iwata,0.1,2,"[1, 2]"
gka_9,ilp,0.0,2,"['4', '5']"
gka_10,akiba_iwata,0.1,8,"[1, 2, 3, 4, 5, 6, 7, 9]"
gka_10,ilp,0.0,8,"['7', '11', '10', '0', '9', '4', '2', '8']"
gka_11,akiba_iwata,0.1,10,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 12]"
gka_11,ilp,0.0,10,"['12', '1', '7', '11', '10', '13', '6', '5', '2', '8']"
gka_12,akiba_iwata,0.1,20,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23]"
gka_12,ilp,0.0,20,"['15', '23', '17', '7', '11', '16', '14', '20', '6', '22', '4', '5', '2', '21', '12', '13', '9', '1', '18', '8']"
gka_13,akiba_iwata,0.1,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 17, 18, 19]"
gka_13,ilp,0.0,16,"['15', '12', '17', '1', '7', '11', '16', '19', '14', '13', '3', '4', '6', '5', '2', '8']"
gka_14,akiba_iwata,0.1,22,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25]"
gka_14,ilp,0.0,22,"['15', '23', '7', '11', '24', '16', '14', '10', '6', '22', '25', '5', '2', '21', '12', '19', '13', '0', '9', '1', '18', '8']"
gka_15,akiba_iwata,0.1,0,[]
gka_15,ilp,0.0,0,[]
gka_16,akiba_iwata,0.1,0,[]
gka_16,ilp,0.0,0,[]
gka_17,akiba_iwata,0.1,0,[]
gka_17,ilp,0.0,0,[]
gka_18,akiba_iwata,0.1,2,"[0, 6]"
gka_18,ilp,0.0,2,"['1', '3']"
gka_19,akiba_iwata,0.2,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 17, 18, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 38]"
gka_19,ilp,0.1,31,"['15', '36', '17', '24', '7', '14', '34', '22', '10', '19', '6', '4', '25', '29', '5', '2', '38', '35', '30', '21', '12', '27', '32', '26', '13', '33', '9', '1', '18', '8', '0']"
