Solver,Threads,Memory,Formulation,Dataset,Vertices,Edges,Time,Opt,Certificate
CPLEX,4,4,VC,aa45,75,381,0.1,20,"['24', '29', '2', '38', '11', '33', '22', '35', '42', '23', '12', '3', '36', '4', '17', '6', '20', '34', '21', '37']"
CPLEX,4,4,OCT,gka_2,58,149,9.0,16,"['19', '30', '23', '44', '31', '22', '38', '14', '6', '33', '47', '15', '32', '43', '13', '27']"
CPLEX,4,4,VC,gka_2,58,149,0.1,16,"['29', '31', '38', '11', '28', '33', '7', '47', '42', '27', '10', '23', '14', '37', '32', '6']"
CPLEX,4,4,OCT,aa29,265,1048,8.0,21,"['7', '17', '38', '33', '29', '42', '14', '58', '15', '21', '6', '25', '10', '54', '13', '45', '40', '20', '66', '36', '68']"
CPLEX,4,4,VC,aa29,265,1048,0.1,21,"['17', '33', '42', '21', '20', '55', '7', '5', '10', '54', '6', '38', '29', '66', '14', '15', '58', '45', '25', '68', '36']"
CPLEX,4,4,OCT,aa42,226,1100,191.8,30,"['16', '22', '61', '66', '78', '71', '63', '80', '69', '59', '20', '58', '85', '18', '31', '81', '74', '75', '28', '47', '35', '1', '5', '79', '10', '49', '50', '65', '84', '33']"
CPLEX,4,4,VC,aa42,226,1100,0.3,30,"['24', '33', '61', '78', '44', '80', '69', '85', '20', '56', '47', '1', '5', '10', '65', '16', '38', '18', '23', '81', '58', '32', '75', '66', '74', '25', '79', '11', '59', '36']"
CPLEX,4,4,OCT,gka_3,70,223,222.8,23,"['18', '19', '69', '64', '17', '52', '23', '54', '48', '46', '57', '38', '3', '11', '59', '45', '29', '55', '47', '15', '43', '60', '27']"
CPLEX,4,4,VC,gka_3,70,223,0.7,23,"['16', '29', '64', '52', '46', '38', '11', '56', '25', '47', '27', '30', '17', '49', '23', '54', '45', '57', '41', '3', '69', '59', '43']"
CPLEX,4,4,OCT,aa32,126,733,250.8,30,"['24', '16', '55', '52', '39', '9', '38', '57', '11', '56', '33', '25', '7', '35', '1', '59', '27', '19', '30', '23', '45', '14', '60', '49', '4', '0', '32', '21', '20', '36']"
CPLEX,4,4,VC,aa32,126,733,0.4,30,"['39', '16', '7', '26', '57', '33', '59', '27', '23', '14', '60', '4', '20', '9', '32', '21', '24', '55', '52', '11', '56', '35', '1', '19', '30', '45', '25', '6', '0', '36']"
CPLEX,4,4,OCT,aa41,261,1585,600.1,40,"['53', '8', '7', '48', '2', '46', '57', '41', '86', '29', '76', '27', '51', '12', '71', '63', '14', '58', '6', '18', '87', '66', '74', '72', '11', '28', '56', '47', '79', '62', '10', '30', '13', '49', '44', '50', '45', '15', '68', '36']"
CPLEX,4,4,VC,aa41,261,1585,0.7,40,"['8', '48', '46', '20', '62', '56', '7', '47', '86', '1', '53', '10', '30', '50', '13', '6', '2', '41', '29', '18', '23', '12', '14', '15', '58', '72', '87', '66', '74', '51', '45', '44', '79', '11', '49', '57', '63', '71', '76', '68']"
CPLEX,4,4,OCT,gka_24,90,400,600.1,38,"['53', '64', '55', '19', '75', '43', '24', '72', '46', '38', '25', '40', '70', '22', '47', '86', '83', '35', '1', '42', '59', '79', '51', '62', '73', '76', '14', '69', '80', '39', '49', '4', '58', '2', '34', '82', '67', '36']"
CPLEX,4,4,VC,gka_24,90,400,20.7,37,"['53', '39', '2', '46', '38', '33', '22', '66', '51', '42', '63', '59', '60', '89', '4', '58', '15', '24', '64', '87', '55', '81', '67', '72', '56', '25', '34', '30', '83', '85', '79', '62', '13', '80', '20', '40', '36']"
CPLEX,4,4,OCT,gka_26,100,494,600.0,43,"['64', '97', '55', '48', '26', '10', '81', '74', '72', '46', '45', '38', '28', '25', '40', '70', '7', '22', '35', '1', '42', '59', '79', '95', '54', '23', '12', '78', '71', '50', '13', '63', '73', '14', '93', '6', '9', '43', '34', '82', '21', '20', '68']"
CPLEX,4,4,VC,gka_26,100,494,26.1,43,"['7', '48', '26', '46', '38', '94', '22', '23', '12', '78', '71', '63', '14', '69', '59', '60', '43', '21', '20', '64', '97', '55', '81', '74', '95', '28', '40', '47', '99', '35', '79', '10', '70', '92', '13', '54', '50', '45', '57', '25', '93', '15', '36']"
CPLEX,4,4,OCT,gka_25,100,495,600.1,43,"['53', '87', '17', '55', '52', '48', '31', '81', '51', '75', '2', '72', '46', '45', '99', '11', '33', '40', '94', '47', '83', '42', '5', '88', '59', '85', '98', '27', '12', '71', '50', '13', '15', '93', '49', '89', '9', '32', '96', '34', '67', '68', '36']"
CPLEX,4,4,VC,gka_25,100,495,35.3,42,"['53', '17', '48', '39', '2', '38', '94', '88', '27', '12', '41', '3', '60', '85', '21', '87', '52', '31', '81', '74', '67', '9', '11', '28', '37', '47', '86', '99', '83', '1', '5', '96', '79', '19', '13', '68', '45', '84', '33', '15', '6', '34']"
