Dataset,Solver,Time,Size,Certificate
gka_26,ilp,21.2,43,"['65', '20', '38', '99', '94', '79', '23', '60', '7', '15', '26', '43', '76', '74', '48', '95', '2', '13', '28', '45', '37', '97', '93', '3', '78', '54', '12', '70', '10', '21', '63', '82', '40', '11', '59', '1', '87', '14', '71', '17', '41', '58', '36']"
gka_27,ilp,201.1,62,"['6', '65', '20', '47', '33', '64', '35', '44', '19', '84', '81', '61', '16', '15', '9', '29', '0', '66', '42', '52', '26', '73', '74', '72', '48', '2', '32', '98', '28', '45', '53', '37', '31', '89', '30', '78', '55', '54', '50', '57', '51', '70', '49', '10', '46', '21', '63', '82', '91', '11', '59', '34', '87', '14', '92', '17', '56', '41', '58', '83', '68', '36']"
gka_28,ilp,120.7,70,"['6', '65', '47', '38', '33', '25', '99', '94', '79', '35', '23', '60', '90', '27', '19', '16', '15', '86', '9', '18', '66', '42', '5', '26', '43', '73', '76', '8', '4', '95', '2', '98', '28', '45', '80', '53', '97', '62', '85', '93', '89', '55', '54', '50', '57', '12', '51', '70', '24', '10', '75', '21', '63', '82', '67', '91', '40', '11', '59', '96', '34', '92', '71', '17', '56', '58', '83', '68', '36', '77']"
gka_29,ilp,37.0,77,"['6', '65', '38', '33', '64', '25', '99', '79', '35', '23', '90', '27', '44', '19', '84', '81', '7', '61', '16', '15', '86', '29', '66', '42', '5', '26', '43', '76', '74', '8', '72', '48', '4', '2', '32', '13', '28', '45', '80', '53', '88', '39', '97', '62', '85', '93', '3', '22', '78', '55', '54', '50', '12', '51', '70', '24', '49', '10', '46', '75', '21', '63', '82', '67', '91', '40', '59', '96', '1', '14', '92', '71', '17', '41', '58', '83', '77']"
gka_30,ilp,38.0,82,"['6', '20', '47', '38', '33', '64', '25', '69', '99', '94', '79', '35', '90', '27', '84', '81', '7', '16', '15', '86', '18', '29', '0', '66', '42', '5', '26', '73', '76', '74', '72', '48', '4', '95', '2', '32', '98', '13', '28', '80', '53', '88', '37', '31', '97', '62', '93', '3', '89', '22', '30', '78', '54', '50', '12', '51', '70', '24', '49', '10', '46', '21', '82', '67', '91', '40', '11', '59', '96', '1', '34', '87', '14', '92', '71', '17', '56', '58', '83', '68', '36', '77']"
gka_31,ilp,20.7,85,"['6', '65', '20', '47', '38', '33', '64', '25', '69', '99', '94', '79', '35', '23', '60', '90', '27', '44', '19', '84', '81', '7', '61', '16', '15', '29', '0', '66', '5', '52', '26', '43', '73', '76', '74', '8', '48', '4', '95', '2', '13', '28', '45', '80', '39', '31', '97', '62', '85', '93', '3', '89', '22', '30', '78', '55', '54', '50', '57', '12', '70', '24', '49', '10', '46', '75', '21', '63', '82', '67', '40', '11', '59', '96', '1', '34', '87', '92', '71', '41', '58', '83', '68', '36', '77']"
gka_32,ilp,13.1,88,"['6', '65', '20', '47', '33', '64', '25', '69', '99', '94', '35', '60', '90', '27', '44', '19', '84', '81', '7', '61', '16', '15', '86', '9', '18', '29', '0', '42', '5', '26', '43', '73', '76', '74', '8', '72', '48', '4', '95', '2', '32', '13', '28', '45', '80', '53', '88', '39', '31', '97', '62', '85', '93', '3', '89', '22', '30', '78', '55', '54', '57', '12', '51', '70', '24', '10', '46', '75', '21', '63', '67', '91', '40', '11', '59', '96', '1', '34', '87', '14', '92', '71', '17', '58', '83', '68', '36', '77']"
gka_33,ilp,2.3,90,"['6', '65', '20', '47', '38', '33', '64', '25', '99', '94', '79', '35', '23', '90', '27', '44', '19', '84', '81', '61', '16', '15', '86', '9', '18', '29', '0', '66', '42', '5', '52', '26', '43', '73', '76', '74', '8', '72', '48', '4', '95', '2', '32', '13', '28', '45', '80', '53', '88', '37', '31', '97', '62', '85', '93', '89', '30', '78', '55', '54', '50', '57', '12', '51', '70', '24', '49', '10', '46', '75', '63', '82', '67', '91', '40', '11', '59', '96', '1', '34', '87', '14', '92', '71', '17', '56', '41', '68', '36', '77']"
gka_34,ilp,1.2,92,"['6', '65', '20', '47', '38', '33', '64', '25', '69', '99', '94', '79', '35', '23', '60', '90', '27', '44', '19', '84', '81', '7', '61', '16', '15', '86', '18', '29', '0', '66', '42', '5', '52', '26', '43', '76', '74', '8', '72', '48', '4', '95', '2', '32', '98', '13', '45', '80', '53', '88', '37', '39', '31', '62', '85', '93', '3', '89', '22', '30', '78', '55', '54', '50', '57', '51', '70', '49', '10', '46', '75', '21', '63', '82', '67', '91', '40', '11', '59', '96', '1', '34', '87', '14', '92', '71', '17', '56', '41', '83', '68', '77']"
gka_35,ilp,0.1,96,"['6', '65', '20', '47', '38', '33', '64', '25', '69', '94', '79', '35', '23', '60', '90', '27', '44', '19', '84', '81', '7', '61', '16', '15', '86', '9', '18', '29', '0', '66', '5', '52', '26', '43', '73', '76', '74', '8', '72', '48', '4', '95', '2', '32', '98', '13', '28', '45', '80', '53', '88', '37', '39', '31', '97', '85', '93', '3', '89', '22', '30', '78', '55', '54', '50', '57', '12', '51', '70', '24', '49', '10', '46', '75', '21', '63', '82', '67', '91', '40', '11', '59', '96', '1', '34', '87', '14', '92', '71', '17', '56', '41', '58', '83', '68', '36']"
